"","dia_ocu","mes_ocu","año_ocu","dia_sem_ocu","hora_ocu","depto_ocu","tipo_veh","color_veh","causa_acc","num_hecho","zona_ocu","modelo_veh","marca_veh","mupio_ocu","g_hora","g_modelo_veh","g_hora_5","areag_ocu","sexo_pil","edad_pil","mayor_menor","estado_pil","corre_base","edad_quinquenales","g_edad"
"6835",5,4,2016,2,2,5,6,10,1,1393,99,2007,19,504,1,4,1,2,NA,NA,NA,NA,NA,NA,NA
"6836",5,4,2016,2,4,1,5,2,1,1392,99,9999,19,117,1,6,1,2,NA,NA,NA,NA,NA,NA,NA
"6837",5,4,2016,2,7,8,11,11,1,1396,99,1982,14,802,2,2,1,1,NA,NA,NA,NA,NA,NA,NA
"6838",5,4,2016,2,7,18,1,9,1,1399,99,1993,69,1801,2,3,1,2,NA,NA,NA,NA,NA,NA,NA
"6839",5,4,2016,2,13,1,99,4,1,1388,13,2006,17,101,3,4,2,1,NA,NA,NA,NA,NA,NA,NA
"6840",5,4,2016,2,14,1,5,99,1,1389,99,9999,999,108,3,6,2,2,NA,NA,NA,NA,NA,NA,NA
"6841",5,4,2016,2,15,1,2,6,1,1385,9,1995,34,101,3,3,2,1,NA,NA,NA,NA,NA,NA,NA
"6842",5,4,2016,2,15,1,12,10,1,1390,13,1995,20,101,3,3,2,2,NA,NA,NA,NA,NA,NA,NA
"6843",5,4,2016,2,15,5,5,2,5,6007,99,2008,69,511,3,4,2,2,NA,NA,NA,NA,NA,NA,NA
"6844",5,4,2016,2,15,12,2,11,1,1395,99,2002,52,1217,3,4,2,2,NA,NA,NA,NA,NA,NA,NA
"6845",5,4,2016,2,16,8,12,6,1,1397,99,1996,17,802,3,3,2,2,NA,NA,NA,NA,NA,NA,NA
"6846",5,4,2016,2,19,4,6,99,5,6009,99,9999,999,401,4,6,3,2,NA,NA,NA,NA,NA,NA,NA
"6847",5,4,2016,2,20,1,1,5,5,6006,11,9999,999,101,4,6,3,1,NA,NA,NA,NA,NA,NA,NA
"6848",5,4,2016,2,20,1,11,2,5,6005,99,2008,69,107,4,4,3,2,NA,NA,NA,NA,NA,NA,NA
"6849",5,4,2016,2,20,9,1,99,1,1394,99,2003,17,909,4,4,3,2,NA,NA,NA,NA,NA,NA,NA
"6850",5,4,2016,2,21,1,1,6,1,1391,12,9999,69,101,4,6,3,1,NA,NA,NA,NA,NA,NA,NA
